old_path,new_path,role,current_sha256,status
03_代码,04_代码,空代码目录迁移,NA,moved_verified_empty
04_结果,05_结果,空结果目录迁移,NA,moved_verified_empty
05_图表,05_结果/figures,空图表目录迁移,NA,moved_verified_empty
01_审计/检查注册表_V3.md,99_归档/旧检查注册表/检查注册表_CR-V3.0.md,历史检查注册表,035214D10CFC0AD2B95295DF084E84D279BCA931C04490F36BCB3086FB98210A,moved_hash_verified
08_项目管理/外部100条建议响应矩阵_V2.md,99_归档/历史评审/第一轮100条建议响应矩阵_V2.md,历史评审,2A8024966B035A8C2CFA3A66DA7672207B944EA88895E78F0659CF9C0104B673,moved_hash_verified
08_项目管理/第二轮100条建议响应矩阵_V3.md,99_归档/历史评审/第二轮100条建议响应矩阵_V3.md,历史评审,AE637ED810CC2CF205D1C69F8E4CF818DBE7BDB5E00F0119B147C7E250614CEF,moved_hash_verified
08_项目管理/第三轮独立评审响应矩阵_V3.1.md,99_归档/历史评审/第三轮独立评审响应矩阵_V3.1.md,历史评审,5E829EF379E6C6C00F42A0A079319DD99700B5D9165245CC25CFC9116E2C1C3C,moved_hash_verified
08_项目管理/下一版模型方案思路_供评审_V2.md,99_归档/旧模型方案/模型方案思路_V2.md,旧模型方案,5A18C4FCE0F33D6E108A0F6111EE421831FDF9882E2DE9ED9131596439F63C14,moved_hash_verified
02_数据/数据审计与数据字典.md,01_审计/数据审计与数据字典.md,审计文档职责迁移并修复相对链接,5CB9A62ECA1909A980C149FDDA21809662B8F0B7AA2316D5EE05BE68981D7C92,moved_then_link_updated
08_项目管理/现有建模思路总说明_队内版_V3.1.md,03_模型/现有建模思路总说明_队内版_V3.1.md,当前模型迁移并更新状态头与路径,282F8E7C486F2CE1E81FAA4AA05EE62D413210DF11306C01179EEB1CF5FBFD50,source_replaced_by_pointer_then_role_labeled_explanatory
08_项目管理/下一版模型方案思路_供评审_V3.md,03_模型/模型方案思路_评审冻结版_V3.1.md,当前模型迁移并更新状态头,FE54A938CA3F5384D711C34056B2AF1903E8D90B45405B168C533467BED8B3DE,source_replaced_by_pointer_then_role_labeled_reference
08_项目管理/高级主模型提案_待确认.md,03_模型/高级模型技术补充_V3.1.md,当前模型迁移并更名更新状态头,AF6C685C5CD75521C853E8147D9035771BC2A43B3B5DE0A183684D90282DAA28,source_replaced_by_pointer_then_role_labeled_conditional
