parameter_id,symbol,code_name,entity,value,unit,source_page,source_type,availability,valid_range_or_set,planned_use,semantic_issue
P001,M,machine_count,测试台,2,台,1,题面给定,任务开始前已知,正整数,驻留台位容量,队伍确认同一装置可同时接受A/B/C测试且全流程占一个台位
P002,c_A,capacity_A,A组专用工位,1,个,1,题面给定,任务开始前已知,1,资源容量,Q3两分队共用同一套装备故容量仍按1
P003,c_B,capacity_B,B组专用工位,1,个,1,题面给定,任务开始前已知,1,资源容量,Q3两分队共用同一套装备故容量仍按1
P004,c_C,capacity_C,C组专用工位,1,个,1,题面给定,任务开始前已知,1,资源容量,Q3两分队共用同一套装备故容量仍按1
P005,c_E,capacity_E,E组专用工位,1,个,1,题面给定,任务开始前已知,1,资源容量,Q3两分队共用同一套装备故容量仍按1
P006,t_A,test_duration_A,A工序,2.5,h,1,题面给定,测试开始前已知,大于0,事件持续时间,中断后须从头重测
P007,t_B,test_duration_B,B工序,2,h,1,题面给定,测试开始前已知,大于0,事件持续时间,中断后须从头重测
P008,t_C,test_duration_C,C工序,2.5,h,1,题面给定,测试开始前已知,大于0,事件持续时间,中断后须从头重测
P009,t_E,test_duration_E,E工序,3,h,1,题面给定,测试开始前已知,大于0,事件持续时间,中断后须从头重测
P010,t_cal_A,calibration_A,A设备,30,min,1,题面给定,首次启用前已知,非负,设备更换后的停机时间,队伍确认换新后按该调试校对时长停机；初始设备已校准不计
P011,t_cal_B,calibration_B,B设备,20,min,1,题面给定,首次启用前已知,非负,设备更换后的停机时间,同P010
P012,t_cal_C,calibration_C,C设备,20,min,1,题面给定,首次启用前已知,非负,设备更换后的停机时间,同P010
P013,t_cal_E,calibration_E,E设备,40,min,1,题面给定,首次启用前已知,非负,设备更换后的停机时间,同P010
P014,t_out,transport_out,单台装置,0.5,h,1,题面给定,调度时已知,非负,题面字面主情景周转分量,与P015顺序相加构成1h主周转；末台终止后不计运出
P015,t_in,transport_in,单台装置,0.5,h,1,题面给定,调度时已知,非负,题面字面主情景周转分量,与P014顺序相加构成1h主周转
P016,a_min,preventive_replace_min_age,全部设备,120,h,1,题面给定,实时可观测,大于等于120,主动更换约束,年龄只累计实际测试运行片段含中断/取消片段且不含空闲停工校准
P017,a_max,mandatory_replace_age,全部设备,240,h,1,题面给定,实时可观测,240,强制更换约束,V3规则为a+d>240启动前换新校准；a+d=240完成优先后换；非法跨越保留节点中断兜底
P018,F_A_120,failure_cdf_A_120,A设备,0.03,probability,1,题面给定,设备使用前已知,"[0,1]",故障时刻分布,题面称累积概率
P019,F_B_120,failure_cdf_B_120,B设备,0.04,probability,1,题面给定,设备使用前已知,"[0,1]",故障时刻分布,题面称累积概率
P020,F_C_120,failure_cdf_C_120,C设备,0.02,probability,1,题面给定,设备使用前已知,"[0,1]",故障时刻分布,题面称累积概率
P021,F_E_120,failure_cdf_E_120,E设备,0.03,probability,1,题面给定,设备使用前已知,"[0,1]",故障时刻分布,题面称累积概率
P022,F_A_240,failure_cdf_A_240,A设备,0.05,probability,1,题面给定,设备使用前已知,"[0,1]",故障时刻CDF节点,队伍确认截至240h的累计概率；段内主情景线性且常风险率作敏感性
P023,F_B_240,failure_cdf_B_240,B设备,0.07,probability,1,题面给定,设备使用前已知,"[0,1]",故障时刻CDF节点,同P022
P024,F_C_240,failure_cdf_C_240,C设备,0.06,probability,1,题面给定,设备使用前已知,"[0,1]",故障时刻CDF节点,同P022
